as_of,horizon,stock_count,hit_count,hit_share,cross_sectional_mean_return,cross_sectional_median_return,cross_sectional_return_std,market_return,market_excess,up_share
2010-01-01,20,222,0,0.0,-0.03665817,-0.068712,0.1951849,-0.10132495,0.06466662,0.279279
2010-04-01,20,228,1,0.004386,-0.09638105,-0.114403,0.18145237,-0.10139826,0.00501713,0.162281
2010-07-01,20,239,78,0.32636,0.16929369,0.15493,0.15590523,0.13303873,0.03625479,0.966527
2010-10-01,20,248,0,0.0,0.1239055,0.090986,0.20048993,0.14398037,-0.02007456,0.842742
2011-01-01,20,254,2,0.007874,-0.04299301,-0.0625515,0.16617312,-0.03567301,-0.00732029,0.232283
2011-04-01,20,261,2,0.007663,-0.03416566,-0.058419,0.16666822,-0.04714672,0.01298133,0.256705
2011-07-01,20,267,2,0.007491,0.00890694,-0.015072,0.10708353,-0.02801786,0.03692458,0.438202
2011-10-01,20,274,2,0.007299,0.06385346,0.0639885,0.10015857,0.06312536,0.00072791,0.80292
2012-01-01,20,279,186,0.666667,0.08345868,0.085981,0.10830927,0.09353934,-0.01008035,0.817204
2012-04-01,20,281,2,0.007117,0.06451973,0.062212,0.10733296,0.07191328,-0.00739377,0.740214
2012-07-01,20,289,7,0.024221,-0.08447781,-0.088608,0.14672025,-0.05165129,-0.03282641,0.103806
2012-10-01,20,294,185,0.629252,0.02548455,0.0168675,0.09518073,0.01232772,0.01315711,0.588435
2013-01-01,20,295,119,0.40339,0.07488939,0.050523,0.11545841,0.08294592,-0.00805676,0.779661
2013-04-01,20,294,18,0.061224,0.01018394,-0.009918,0.1366172,0.01218793,-0.00200385,0.465986
2013-07-01,20,292,24,0.082192,0.06608491,0.0259605,0.18425021,-0.01124046,0.0773255,0.636986
2013-10-01,20,292,42,0.143836,-0.01189846,-0.039491,0.15824768,-0.02573432,0.01383607,0.335616
2014-01-01,20,292,248,0.849315,0.03560292,-0.005051,0.17934127,-0.04700491,0.08260752,0.472603
2014-04-01,20,298,191,0.64094,0.00390767,-0.039676,0.19161981,-0.00044452,0.00435237,0.328859
2014-07-01,20,297,97,0.326599,0.08283019,0.056958,0.17212604,0.08060759,0.00222247,0.744108
2014-10-01,20,300,37,0.123333,0.05590772,-0.0103595,0.29063508,0.04338612,0.01252127,0.436667
2015-01-01,20,301,188,0.624585,0.19951778,0.078205,0.50955206,-0.05181679,0.25133465,0.767442
2015-04-01,20,305,191,0.62623,0.28422712,0.149149,0.59977099,0.11496325,0.16926416,0.836066
2015-07-01,20,309,36,0.116505,-0.07888422,-0.121153,0.32880743,-0.07434139,-0.0045427,0.223301
2015-10-01,20,308,28,0.090909,0.20923888,0.205732,0.22738986,0.09331072,0.11592796,0.892857
2016-01-01,20,311,38,0.122186,-0.21575361,-0.247586,0.15346274,-0.13293758,-0.08281578,0.086817
2016-04-01,20,311,12,0.038585,0.0125286,0.009403,0.13950172,-0.00098813,0.01351649,0.543408
2016-07-01,20,312,182,0.583333,0.00956169,-0.010241,0.2330618,0.01721404,-0.00765258,0.451923
2016-10-01,20,314,3,0.009554,0.02010896,0.007663,0.14251798,0.02005228,5.636e-05,0.535032
2017-01-01,20,317,65,0.205047,-0.05159446,-0.048593,0.13710531,0.01079616,-0.06239088,0.239748
2017-04-01,20,327,116,0.35474,-0.1126203,-0.107182,0.14554052,-0.01638435,-0.09623595,0.116208
2017-07-01,20,331,99,0.299094,-0.04301683,-0.026137,0.16403251,0.02417091,-0.0671874,0.36858
2017-10-01,20,335,226,0.674627,-0.06691919,-0.052705,0.15144034,0.03104807,-0.09796722,0.220896
2018-01-01,20,339,1,0.00295,-0.05820635,-0.029364,0.17646499,0.02734424,-0.08555074,0.327434
2018-04-01,20,340,9,0.026471,-0.08965292,-0.05513,0.17450687,-0.0276613,-0.06199169,0.232353
2018-07-01,20,338,36,0.106509,-0.03908857,-0.002539,0.18648386,0.0250577,-0.06414653,0.491124
2018-10-01,20,338,176,0.52071,-0.0311509,-0.025957,0.18337338,-0.00780364,-0.02334767,0.349112
