as_of,horizon,stock_count,hit_count,hit_share,cross_sectional_mean_return,cross_sectional_median_return,cross_sectional_return_std,market_return,market_excess,up_share
2010-01-01,20,222,3,0.013514,-0.03665817,-0.068712,0.1951849,-0.10132495,0.06466662,0.279279
2010-04-01,20,228,32,0.140351,-0.09638105,-0.114403,0.18145237,-0.10139826,0.00501713,0.162281
2010-07-01,20,239,134,0.560669,0.16929369,0.15493,0.15590523,0.13303873,0.03625479,0.966527
2010-10-01,20,248,4,0.016129,0.1239055,0.090986,0.20048993,0.14398037,-0.02007456,0.842742
2011-01-01,20,254,29,0.114173,-0.04299301,-0.0625515,0.16617312,-0.03567301,-0.00732029,0.232283
2011-04-01,20,261,26,0.099617,-0.03416566,-0.058419,0.16666822,-0.04714672,0.01298133,0.256705
2011-07-01,20,267,20,0.074906,0.00890694,-0.015072,0.10708353,-0.02801786,0.03692458,0.438202
2011-10-01,20,274,28,0.10219,0.06385346,0.0639885,0.10015857,0.06312536,0.00072791,0.80292
2012-01-01,20,279,254,0.910394,0.08345868,0.085981,0.10830927,0.09353934,-0.01008035,0.817204
2012-04-01,20,281,15,0.053381,0.06451973,0.062212,0.10733296,0.07191328,-0.00739377,0.740214
2012-07-01,20,289,91,0.314879,-0.08447781,-0.088608,0.14672025,-0.05165129,-0.03282641,0.103806
2012-10-01,20,294,268,0.911565,0.02548455,0.0168675,0.09518073,0.01232772,0.01315711,0.588435
2013-01-01,20,295,202,0.684746,0.07488939,0.050523,0.11545841,0.08294592,-0.00805676,0.779661
2013-04-01,20,294,81,0.27551,0.01018394,-0.009918,0.1366172,0.01218793,-0.00200385,0.465986
2013-07-01,20,292,89,0.304795,0.06608491,0.0259605,0.18425021,-0.01124046,0.0773255,0.636986
2013-10-01,20,292,119,0.407534,-0.01189846,-0.039491,0.15824768,-0.02573432,0.01383607,0.335616
2014-01-01,20,292,282,0.965753,0.03560292,-0.005051,0.17934127,-0.04700491,0.08260752,0.472603
2014-04-01,20,298,259,0.869128,0.00390767,-0.039676,0.19161981,-0.00044452,0.00435237,0.328859
2014-07-01,20,297,165,0.555556,0.08283019,0.056958,0.17212604,0.08060759,0.00222247,0.744108
2014-10-01,20,300,104,0.346667,0.05590772,-0.0103595,0.29063508,0.04338612,0.01252127,0.436667
2015-01-01,20,301,281,0.933555,0.19951778,0.078205,0.50955206,-0.05181679,0.25133465,0.767442
2015-04-01,20,305,289,0.947541,0.28422712,0.149149,0.59977099,0.11496325,0.16926416,0.836066
2015-07-01,20,309,98,0.317152,-0.07888422,-0.121153,0.32880743,-0.07434139,-0.0045427,0.223301
2015-10-01,20,308,96,0.311688,0.20923888,0.205732,0.22738986,0.09331072,0.11592796,0.892857
2016-01-01,20,311,133,0.427653,-0.21575361,-0.247586,0.15346274,-0.13293758,-0.08281578,0.086817
2016-04-01,20,311,79,0.254019,0.0125286,0.009403,0.13950172,-0.00098813,0.01351649,0.543408
2016-07-01,20,312,276,0.884615,0.00956169,-0.010241,0.2330618,0.01721404,-0.00765258,0.451923
2016-10-01,20,314,31,0.098726,0.02010896,0.007663,0.14251798,0.02005228,5.636e-05,0.535032
2017-01-01,20,317,181,0.570978,-0.05159446,-0.048593,0.13710531,0.01079616,-0.06239088,0.239748
2017-04-01,20,327,210,0.642202,-0.1126203,-0.107182,0.14554052,-0.01638435,-0.09623595,0.116208
2017-07-01,20,331,150,0.453172,-0.04301683,-0.026137,0.16403251,0.02417091,-0.0671874,0.36858
2017-10-01,20,335,304,0.907463,-0.06691919,-0.052705,0.15144034,0.03104807,-0.09796722,0.220896
2018-01-01,20,339,19,0.056047,-0.05820635,-0.029364,0.17646499,0.02734424,-0.08555074,0.327434
2018-04-01,20,340,108,0.317647,-0.08965292,-0.05513,0.17450687,-0.0276613,-0.06199169,0.232353
2018-07-01,20,338,191,0.565089,-0.03908857,-0.002539,0.18648386,0.0250577,-0.06414653,0.491124
2018-10-01,20,338,244,0.721893,-0.0311509,-0.025957,0.18337338,-0.00780364,-0.02334767,0.349112
