as_of,horizon,stock_count,hit_count,hit_share,cross_sectional_mean_return,cross_sectional_median_return,cross_sectional_return_std,market_return,market_excess,up_share
2023-01-01,20,292,57,0.195205,0.05739005,0.049521,0.14681321,0.05300468,0.00438558,0.763699
2023-04-01,20,286,71,0.248252,-0.12051024,-0.072649,0.23407536,-0.01882146,-0.10168906,0.248252
2023-07-01,20,255,102,0.4,0.01550693,0.008045,0.10297367,0.031275,-0.01576812,0.556863
2023-10-01,20,257,9,0.035019,0.02151981,0.010279,0.11902964,-0.01417214,0.03569179,0.571984
2024-01-01,20,252,209,0.829365,-0.14514277,-0.157336,0.10143271,-0.04121395,-0.10392854,0.099206
2024-04-01,20,246,224,0.910569,-0.12558503,-0.0701855,0.23059787,0.0147686,-0.14035371,0.288618
2024-07-01,20,209,46,0.220096,-0.00574524,-0.029333,0.16471409,-0.02514511,0.01939947,0.354067
2024-10-01,20,206,68,0.330097,0.02803283,-0.0126505,0.16217219,-0.04915845,0.07719167,0.436893
2025-01-01,20,203,177,0.871921,0.02139677,0.023677,0.13286865,0.01904633,0.0023507,0.655172
2025-04-01,20,195,90,0.461538,-0.07923797,-0.053085,0.20787842,-0.02626187,-0.05297583,0.25641
2025-07-01,20,186,63,0.33871,0.03859676,0.037088,0.13101119,0.05338828,-0.01479201,0.758065
2025-10-01,20,183,110,0.601093,0.01965713,0.014311,0.13413193,-0.00356304,0.02322049,0.612022
2026-01-01,20,180,29,0.161111,0.01890703,0.0138105,0.1818383,-0.02368579,0.04259316,0.577778
2026-04-01,20,178,93,0.522472,-0.02040603,0.0006365,0.25112297,0.06267531,-0.08308116,0.505618
2026-07-01,20,165,121,0.733333,-0.03883527,-0.007795,0.16650632,-0.0606571,0.02182152,0.466667
